Date(UTC);Pair;Base Asset;Quote Asset;Type;Price;Amount;Total;Fee;Fee Coin
2025-07-19 20:35:55;ETH/EUR;ETH;EUR;BUY;3078.93;0.0935;287.879955;0.00008883;ETH
2025-07-19 20:35:55;ETH/EUR;ETH;EUR;BUY;3078.85;0.1396;429.80746;0.00013262;ETH
2025-07-19 20:32:59;BTC/EUR;BTC;EUR;SELL;101453.42;0.01264;1282.3712288;1.21825267;EUR
2025-07-19 20:32:59;BTC/EUR;BTC;EUR;SELL;101453.42;0.01262;1280.3421604;1.21632505;EUR
2025-07-19 20:32:50;BTC/EUR;BTC;EUR;BUY;101451.65;0.0108;1095.67782;0.00001026;BTC
2025-07-19 20:32:50;BTC/EUR;BTC;EUR;BUY;101451.65;0.00307;311.4565655;0.00000292;BTC
2025-07-19 20:32:50;BTC/EUR;BTC;EUR;BUY;101451.65;0.01139;1155.5342935;0.00001082;BTC
2025-07-19 20:31:36;BTC/EUR;BTC;EUR;SELL;101468.8;0.01449;1470.282912;1.39676877;EUR
2025-07-19 20:31:36;BTC/EUR;BTC;EUR;SELL;101468.8;0.01074;1089.774912;1.03528617;EUR
2025-07-19 20:31:24;BTC/EUR;BTC;EUR;BUY;101468.81;0.01846;1873.1142326;0.00001754;BTC
2025-07-19 20:31:24;BTC/EUR;BTC;EUR;BUY;101468.81;0.0068;689.987908;0.00000646;BTC
2025-07-19 20:30:11;BTC/EUR;BTC;EUR;SELL;101488.12;0.00169;171.5149228;0.16293918;EUR
2025-07-19 20:30:11;BTC/EUR;BTC;EUR;SELL;101488.12;0.01095;1111.294914;1.05573017;EUR
2025-07-19 20:30:11;BTC/EUR;BTC;EUR;SELL;101488.12;0.01258;1276.7205496;1.21288452;EUR
2025-07-19 20:30:00;BTC/EUR;BTC;EUR;BUY;101488.13;0.0086;872.797918;0.00000817;BTC
2025-07-19 20:30:00;BTC/EUR;BTC;EUR;BUY;101488.13;0.00896;909.3336448;0.00000851;BTC
2025-07-19 20:30:00;BTC/EUR;BTC;EUR;BUY;101488.13;0.0024;243.571512;0.00000228;BTC
2025-07-19 20:30:00;BTC/EUR;BTC;EUR;BUY;101488.13;0.00444;450.6072972;0.00000422;BTC
2025-07-19 20:30:00;BTC/EUR;BTC;EUR;BUY;101488.13;0.00086;87.2797918;0.00000082;BTC
2025-07-19 20:13:16;BTC/EUR;BTC;EUR;SELL;101511.72;0.00434;440.5608648;0.41853282;EUR
2025-07-19 20:13:16;BTC/EUR;BTC;EUR;SELL;101514.52;0.00027;27.4089204;0.02603847;EUR
2025-07-19 20:13:16;BTC/EUR;BTC;EUR;SELL;101514.52;0.00034;34.5149368;0.03278919;EUR
2025-07-19 20:13:16;BTC/EUR;BTC;EUR;SELL;101510.94;0.0067;680.123298;0.64611713;EUR
2025-07-19 20:13:16;BTC/EUR;BTC;EUR;SELL;101510.93;0.01361;1381.5637573;1.31248557;EUR
2025-07-19 20:13:06;BTC/EUR;BTC;EUR;BUY;101514.53;0.02526;2564.2570278;0.000024;BTC
2025-07-19 20:11:52;BTC/EUR;BTC;EUR;SELL;101532.46;0.00261;264.9997206;0.25174973;EUR
2025-07-19 20:11:52;BTC/EUR;BTC;EUR;SELL;101532.45;0.01527;1550.4005115;1.47288049;EUR
