direction,exit_price,spread_percent,size,pair,stop_loss,take_profit,exit_reason,fees,volume_24h,entry_price,timestamp,trade_id,pnl_gross,duration_seconds,capital_before,capital_after,signals,pnl_net,volatility,action,session_trading,id,real_pnl
LONG,,,713.1,SUIUSDC,3.996783,4.0548816,,,2857,4.0068,2025-07-21 11:07:54.513322,SUIUSDC_1790003116_1753088874,,,22858.798944515052,22855.949632367,"{'direction': 'LONG', 'position_size': 2857.3210916854064, 'anti_fragmentation': True}",,3.080791806458546,OPEN,EUROPE,LKH7iRnB3ZxPx13UFPjF,-2.8493121480532864
LONG,0.8926,,3194.7,ADAUSDC,0.0,0.0,STOP_LOSS,,,0.8939,2025-07-21 11:11:00.227390,ADAUSDC_1062576128_1753088776,,272.475295,0.0,0.0,,,,,,NabTCw6YdXO8vcQ7gsmr,0.0
LONG,3.9961,,713.1,SUIUSDC,0.0,0.0,STOP_LOSS,,,4.0068,2025-07-21 11:13:36.027119,SUIUSDC_1790003116_1753088874,,330.003938,0.0,0.0,,,,,,jqsHBQWWj9MSeTwicHMw,0.0
LONG,,,20972.0,DOGEUSDC,0.27114045000000003,0.27508184,,,5701,0.27182,2025-07-21 11:23:22.786850,DOGEUSDC_1347178150_1753089802,,,22801.84689405155,22796.538890881053,"{'direction': 'LONG', 'position_size': 5700.5594935531, 'anti_fragmentation': True}",,2.7381652455160292,OPEN,EUROPE,g5F4EnSSf39mMnL3uTfJ,-5.308003170495795
LONG,,,714.8,SUIUSDC,3.9794265,4.0372728,,,2852,3.9894,2025-07-21 11:24:45.111972,SUIUSDC_1790072009_1753089885,,,22812.658716209702,22810.203161805603,"{'direction': 'LONG', 'position_size': 2851.5501450781308, 'anti_fragmentation': True}",,3.0440168887315773,OPEN,EUROPE,0brkewMIsEzA6gvvIeN1,-2.45555440409953
LONG,,,1.5093,ETHUSDC,3766.6896750000005,3821.44356,,,5699,3776.13,2025-07-21 11:27:00.342777,ETHUSDC_6001213779_1753090020,,,22794.56178570215,22786.624642680454,"{'direction': 'LONG', 'position_size': 5699.172331494912, 'anti_fragmentation': True}",,1.6850361940975112,OPEN,EUROPE,XI8LCqnJSNPV6jlGK6mt,-7.937143021696102
LONG,0.27171,,20972.0,DOGEUSDC,0.0,0.0,STOP_LOSS,,,0.27182,2025-07-21 11:27:28.610885,DOGEUSDC_1347178150_1753089802,,232.850353,0.0,0.0,,,,,,DMHykpSbywDQFUSUoebP,0.0
LONG,,,0.04791,BTCUSDC,118538.91,120262.032,,,5693,118836.0,2025-07-21 11:28:37.002135,BTCUSDC_5902201533_1753090117,,,22777.25918340485,22775.1798686117,"{'direction': 'LONG', 'position_size': 5693.397309371237, 'anti_fragmentation': True}",,1.7664197228720746,OPEN,EUROPE,lnCDSnMr99sYRz40etNX,-2.079314793150843
LONG,3.984,,714.8,SUIUSDC,0.0,0.0,STOP_LOSS,,,3.9894,2025-07-21 11:36:56.307487,SUIUSDC_1790072009_1753089885,,716.182562,0.0,0.0,,,,,,w9gFx0uArfoK49CI8RFz,0.0
LONG,118776.8,,0.04791,BTCUSDC,0.0,0.0,MOMENTUM_FAIBLE,,,118836.0,2025-07-21 11:37:19.670525,BTCUSDC_5902201533_1753090117,,509.567393,0.0,0.0,,,,,,xYYXjA32ThC5GTnL538w,0.0
LONG,,,713.1,SUIUSDC,3.9772320000000003,4.0350464,,,2843,3.9872,2025-07-21 11:38:26.175698,SUIUSDC_1790113836_1753090706,,,22749.626752718697,22746.54810781945,"{'direction': 'LONG', 'position_size': 2843.3995908860497, 'anti_fragmentation': True}",,3.0439784089903568,OPEN,EUROPE,PV6hTvdDZbB4ETuzb8VJ,-3.0786448992475925
LONG,3766.53,,1.5093,ETHUSDC,0.0,0.0,STOP_LOSS,,,3776.13,2025-07-21 11:39:55.332017,ETHUSDC_6001213779_1753090020,,760.406787,0.0,0.0,,,,,,JqoxPs1LUWAj4RGsdv41,0.0
LONG,,,3219.4,ADAUSDC,0.88009425,0.8928876,,,2840,0.8823,2025-07-21 11:41:08.694725,ADAUSDC_1062652974_1753090868,,,22720.1589474474,22714.0189576663,"{'direction': 'LONG', 'position_size': 2840.5090845647815, 'anti_fragmentation': True}",,4.688082070091978,OPEN,EUROPE,0avQrPSNiM3zi6aWdtte,-6.139989781098848
LONG,3.9731,,713.1,SUIUSDC,0.0,0.0,STOP_LOSS,,,3.9872,2025-07-21 11:42:37.745013,SUIUSDC_1790113836_1753090706,,236.147383,0.0,0.0,,,,,,aBBoTkr0tBmsP4jzjsWm,0.0
LONG,0.8825,,3219.4,ADAUSDC,0.0,0.0,MOMENTUM_FAIBLE,,,0.8823,2025-07-21 11:44:40.477274,ADAUSDC_1062652974_1753090868,,197.323201,0.0,0.0,,,,,,97ADcaVtqIAkQaGsz2LS,0.0
LONG,,,714.1,SUIUSDC,3.9650625,4.0227,,,2839,3.975,2025-07-21 11:46:44.354590,SUIUSDC_1790160842_1753091204,,,22708.660031780946,22706.607351379855,"{'direction': 'LONG', 'position_size': 2838.39592924935, 'anti_fragmentation': True}",,3.044863689241821,OPEN,EUROPE,QBNLmTbD2XHb9TLSQ9uX,-2.052680401091493
LONG,,,3207.7,ADAUSDC,0.88388475,0.8967332,,,2842,0.8861,2025-07-21 11:50:55.536370,ADAUSDC_1062677533_1753091455,,,22740.223307900404,22735.174328907302,"{'direction': 'LONG', 'position_size': 2842.3861423718445, 'anti_fragmentation': True}",,4.687186637507036,OPEN,EUROPE,meGW4EiYlB8Nse6aaNVd,-5.048978993101628
